Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Malta,19314.0,19384.0,20027.0,21112.0,21569.0,22838.0,23995.0,25781.0,27133.0,26794.0,28405.0,29063.0,30424,32560,34755,37922,40234,44954,47273,49038
Marshall Islands,2107.0,2331.0,2496.0,2491.0,2528.0,2630.0,2691.0,2841.0,2675.0,2773.0,2961.0,2990.0,2968,3126,3140,3209,3275,3434,3610,3903
Mauritania,3159.0,3113.0,3114.0,3299.0,3449.0,3757.0,4729.0,4631.0,4579.0,4493.0,4549.0,4716.0,4755,5099,4662,4586,5159,5636,5898,6213
Mauritius,9085.0,9513.0,9750.0,10462.0,11134.0,11581.0,12420.0,13424.0,14367.0,14899.0,15700.0,16653.0,16964,17866,18484,19226,20701,21415,22734,23817
Mexico,12836.0,12899.0,12916.0,13180.0,13878.0,14450.0,15350.0,15890.0,16134.0,15147.0,15879.0,16567.0,17213,17429,18120,18382,19422,19934,20644,20769
Federated States of Micronesia,2198.0,2301.0,2358.0,2450.0,2443.0,2579.0,2669.0,2702.0,2707.0,2767.0,2879.0,3027.0,3021,2955,2936,3097,3151,3291,3371,3466
Moldova,3070.0,3337.0,3663.0,3994.0,4413.0,4907.0,5315.0,5635.0,6200.0,5872.0,6370.0,6882.0,7329,8345,8789,9222,10527,11547,12556,13493
Mongolia,3790.0,4007.0,4226.0,4572.0,5083.0,5519.0,6077.0,6691.0,7227.0,6991.0,7470.0,8782.0,10074,10375,10850,10558,10524,11084,11943,12557
Montenegro,8268.0,8514.0,8776.0,9135.0,9776.0,10490.0,11731.0,12848.0,14012.0,13256.0,13753.0,14472.0,13864,14870,15371,16336,18198,19703,21205,22469
Morocco,3680.0,3984.0,4117.0,4390.0,4663.0,4903.0,5368.0,5636.0,6008.0,6224.0,6459.0,6855.0,6857,7091,6793,7244,7356,7581,7923,8190
Mozambique,478.0,532.0,574.0,607.0,653.0,698.0,767.0,825.0,878.0,915.0,959.0,1023.0,1036,1085,1139,1291,1364,1284,1321,1336
Myanmar,981.0,1115.0,1232.0,1411.0,1659.0,1931.0,2242.0,2574.0,2804.0,2926.0,3095.0,3308.0,3697,3941,4130,4224,4141,4333,4684,5053
Namibia,5310.0,5554.0,5920.0,6144.0,6616.0,7018.0,7388.0,7857.0,8099.0,8054.0,8515.0,9000.0,9512,9901,10633,10793,10578,10317,10482,10409
Nauru,,,,,3504.0,3647.0,4438.0,3488.0,4207.0,4542.0,4893.0,5474.0,5981,7642,9043,8975,8927,8342,9197,9856
Nepal,1342.0,1426.0,1427.0,1492.0,1582.0,1667.0,1754.0,1841.0,1970.0,2055.0,2170.0,2288.0,2505,2702,2947,2996,2990,3565,3864,4140
Netherlands,33528.0,34811.0,35170.0,35727.0,37263.0,39104.0,41633.0,44307.0,46004.0,44383.0,45274.0,46703.0,47342,49314,49338,50419,52441,55509,57840,59675
New Zealand,22209.0,23133.0,24201.0,25238.0,26745.0,28129.0,29494.0,31032.0,31304.0,30815.0,31383.0,32377.0,32734,35475,36994,36972,39266,40976,42617,43686
Nicaragua,2853.0,2943.0,2951.0,3023.0,3204.0,3378.0,3589.0,3823.0,3978.0,3822.0,3987.0,4197.0,4363,4556,4898,5261,5672,5996,5871,5697
Niger,775.0,819.0,841.0,845.0,839.0,895.0,941.0,960.0,1016.0,1003.0,1061.0,1066.0,1156,1125,1139,1145,1148,1164,1229,1276
