Country (or dependent territory),1985,%,1990,%.1,1995,%.2,2000,%.3,2005,%.4,2010,%.5,2015,%.6
São Tomé and Príncipe,105000,2060.0,116000,2160.0,128000,1860.0,141000,2050.0,158000,2290.0,176000,2220.0,195000,1990.0
Saudi Arabia,13331000,5870.0,16061000,3800.0,18756000,3150.0,21312000,2590.0,23643000,2100.0,25732000,1710.0,27753000,1520.0
Senegal,6379000,2600.0,7348000,2870.0,8379000,2660.0,9470000,2480.0,10805000,2670.0,12324000,2670.0,13976000,2550.0
Serbia,7720000,350.0,7787000,170.0,7692000,-250.0,7605000,-230.0,7503000,-270.0,7345000,-420.0,7177000,-460.0
Seychelles,68000,990.0,71000,1060.0,75000,1140.0,80000,1100.0,84000,1170.0,89000,1040.0,93000,910.0
Sierra Leone,3704000,2120.0,4229000,2690.0,3882000,-1700.0,3810000,-380.0,4709000,4330.0,5246000,2190.0,5880000,2310.0
Singapore,2750000,2640.0,3048000,2070.0,3567000,3200.0,4064000,2640.0,4606000,2540.0,5141000,2220.0,5675000,2000.0
Sint Maarten,20000,9240.0,30000,8680.0,32000,1740.0,31000,-730.0,34000,1810.0,38000,2380.0,41000,1540.0
Slovakia,5145000,710.0,5263000,450.0,5362000,370.0,5401000,140.0,5408000,30.0,5427000,70.0,5446000,70.0
Slovenia,1915000,870.0,1992000,790.0,2003000,120.0,2011000,80.0,2012000,10.0,2004000,-80.0,1984000,-200.0
Solomon Islands,273000,3410.0,322000,3310.0,376000,3150.0,434000,2950.0,496000,2710.0,560000,2440.0,623000,2170.0
Somalia,6459000,2200.0,6693000,710.0,6401000,-890.0,7501000,3220.0,8791000,3220.0,9768000,2130.0,10617000,1680.0
South Africa,34255000,3210.0,38504000,2370.0,42148000,1820.0,44914000,1280.0,48105000,1380.0,51123000,1220.0,53676000,980.0
South Korea,40807000,1370.0,42870000,990.0,45106000,1020.0,46839000,760.0,48006000,490.0,48637000,260.0,49116000,200.0
South Sudan,5320000,2650.0,4960000,-1390.0,5193000,920.0,6297000,3930.0,7634000,3930.0,9585000,4660.0,12043000,4670.0
Spain,38535000,550.0,39351000,420.0,39765000,210.0,40590000,410.0,43705000,1490.0,46506000,1250.0,48147000,700.0
Sri Lanka,15848000,1030.0,16862000,1250.0,17942000,1250.0,19042000,1200.0,20103000,1090.0,21084000,960.0,22054000,900.0
Sudan,17507000,3440.0,21130000,3830.0,24517000,3020.0,27068000,2000.0,29884000,2000.0,32997000,2000.0,36109000,1820.0
Suriname,395000,2180.0,417000,1070.0,428000,550.0,465000,1640.0,504000,1650.0,546000,1620.0,580000,1210.0
Sweden,8357000,110.0,8601000,580.0,8878000,640.0,8925000,100.0,9083000,350.0,9433000,760.0,9802000,770.0
Switzerland,6568000,560.0,6844000,830.0,7165000,920.0,7278000,310.0,7449000,470.0,7770000,850.0,8122000,890.0
Syria,10479000,3700.0,12534000,3650.0,14487000,2940.0,16515000,2650.0,18615000,2420.0,21766000,3180.0,17065000,-4750.0
Taiwan,19338000,1620.0,20279000,950.0,21291000,980.0,22185000,830.0,22728000,480.0,23127000,350.0,23416000,250.0
Tajikistan,4569000,2870.0,5273000,2910.0,5679000,1490.0,6230000,1870.0,6815000,1810.0,7488000,1900.0,8192000,1810.0
Tanzania,21485000,2870.0,24805000,2920.0,29065000,3220.0,33194000,2690.0,38487000,3000.0,44289000,2850.0,51046000,2880.0
Thailand,51759000,1940.0,56097000,1620.0,59818000,1290.0,62902000,1010.0,65113000,690.0,66721000,490.0,67977000,370.0
Timor-Leste,649000,3090.0,740000,2660.0,868000,3240.0,768000,-2430.0,985000,5110.0,1088000,2020.0,1232000,2500.0
Togo,3130000,3570.0,3721000,3520.0,4203000,2470.0,4992000,3500.0,5715000,2740.0,6588000,2880.0,7553000,2770.0
Tonga,95000,550.0,97000,390.0,98000,240.0,101000,550.0,104000,630.0,106000,450.0,107000,160.0
Trinidad and Tobago,1190000,1740.0,1256000,1090.0,1265000,140.0,1252000,-200.0,1237000,-240.0,1229000,-130.0,1223000,-100.0
Tunisia,7364000,2710.0,8208000,2190.0,8947000,1740.0,9508000,1220.0,10013000,1040.0,10526000,1000.0,11038000,950.0
Turkey,50989000,2510.0,56545000,2090.0,61296000,1630.0,65970000,1480.0,70465000,1330.0,74687000,1170.0,79415000,1240.0
